symbol,timeframe,status,rows,cluster,n_signals,n_folds,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,error
AAPL,H1,no_folds,3388,equity,,,,,,,,,,,,,,,
AAPL,H4,no_folds,932,equity,,,,,,,,,,,,,,,
AAPL,M1,ok,188968,equity,87678,33,200,-0.0007847478266471554,2.351621491166632,7.696592351218549,0.6978363242124979,1.0017869787806848,0.30096476066462885,36,9.6,0.4,4.245710867090478,2.5,
AAPL,M15,ok,12709,equity,5557,6,200,0.0012480240372602501,2.440509232295464,7.406179083323708,1.3735508797401141,1.9612994968798398,0.9616691509250496,32,9.6,0.4,4.245710867090478,2.5,
AAPL,M30,ok,6330,equity,2946,1,200,0.0014230706579852826,0.7572682050827644,7.003009836538202,1.4753701532160415,3.192180535688263,0.38229513528816983,17,9.6,0.4,4.245710867090478,2.5,
AAVUSD,H1,ok,6474,crypto,3377,1,200,0.015071765499443304,1.9257033846192557,6.949832710988439,1.5649419308953743,3.22592632162916,0.5031584777942936,30,23.1,6.5,0.6320113762041969,8.0,
AAVUSD,H4,no_folds,1606,crypto,,,,,,,,,,,,,,,
AAVUSD,M1,error,,,,,,,,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.
AAVUSD,M15,ok,26027,crypto,13422,17,200,-0.0013206062212949728,1.187169550307907,9.674409891378179,1.9976895853507868,3.005853799306494,1.3814446218262175,43,23.1,6.5,0.6320113762041969,8.0,
AAVUSD,M30,ok,12991,crypto,6725,6,200,2.3072219757076248e-6,1.022362773746037,7.883140218853684,1.4594669396741615,3.2528253367070095,2.265018824446051,31,23.1,6.5,0.6320113762041969,8.0,
ADAUSD,H1,ok,16628,crypto,8651,9,200,-0.004217254242066539,2.591120362237369,8.881811300074617,0.3337685162979121,4.374428202720666,1.3305375729378541,9,61.8,6.5,39.25104757863509,8.0,
