symbol,timeframe,cluster,optuna_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon
IMXUSD,H4,crypto,0.01684,1.5,6.0,1.0,3.0,1.0,30
ICPUSD,H4,crypto,0.014979,1.5,6.0,1.0,3.0,1.0,30
META,H4,equity,0.013579,1.5,4.5,1.0,2.0,0.5,24
UNIUSD,H4,crypto,0.013156,1.5,6.0,1.0,3.0,1.0,30
GALUSD,H4,crypto,0.011952,1.5,6.0,1.0,3.0,1.0,30
FETUSD,H4,crypto,0.011837,1.5,6.0,1.0,3.0,1.0,30
GRTUSD,H4,crypto,0.010991,1.5,6.0,1.0,3.0,1.0,30
LNKUSD,H4,crypto,0.010651,1.5,6.0,1.0,3.0,1.0,30
DASHUSD,H4,crypto,0.010217,1.5,6.0,1.0,3.0,1.0,30
AVAUSD,H4,crypto,0.009561,1.5,6.0,1.0,3.0,1.0,30
AMZN,H4,equity,0.009202,1.5,4.5,1.0,2.0,0.5,24
VECUSD,H4,crypto,0.009202,1.5,6.0,1.0,3.0,1.0,30
MANUSD,H4,crypto,0.009172,1.5,6.0,1.0,3.0,1.0,30
SANUSD,H4,crypto,0.009018,1.5,6.0,1.0,3.0,1.0,30
ETCUSD,H4,crypto,0.008704,1.5,6.0,1.0,3.0,1.0,30
AAVUSD,H4,crypto,0.008599,1.5,6.0,1.0,3.0,1.0,30
BARUSD,H4,crypto,0.007488,1.5,6.0,1.0,3.0,1.0,30
NERUSD,H4,crypto,0.006865,1.5,6.0,1.0,3.0,1.0,30
AAPL,H4,equity,0.006516,1.5,4.5,1.0,2.0,0.5,24
NVDA,H1,equity,0.005454,1.5,4.5,1.0,2.0,0.5,24
SOLUSD,H4,crypto,0.004783,1.5,6.0,1.0,3.0,1.0,30
BAC,H4,equity,0.004331,1.5,4.5,1.0,2.0,0.5,24
TSLA,H1,equity,0.0042,1.5,4.5,1.0,2.0,0.5,24
LVMH,H4,equity,0.004145,1.5,4.5,1.0,2.0,0.5,24
TSLA,M30,equity,0.003901,1.5,4.5,1.0,2.0,0.5,24
HK50.cash,H4,index,0.003685,1.5,6.0,0.8,2.5,1.0,30
XAG_USD,H4,commodity,0.003479,1.5,6.0,0.8,2.5,1.0,30
BABA,H1,equity,0.003424,1.5,4.5,1.0,2.0,0.5,24
AAPL,H1,equity,0.003291,1.5,4.5,1.0,2.0,0.5,24
LVMH,H1,equity,0.00324,1.5,4.5,1.0,2.0,0.5,24
MSFT,H4,equity,0.002967,1.5,4.5,1.0,2.0,0.5,24
XAG_EUR,H4,commodity,0.002793,1.5,6.0,0.8,2.5,1.0,30
EU50.cash,H4,index,0.002768,1.5,6.0,0.8,2.5,1.0,30
COCOA.c,H4,commodity,0.002727,1.5,6.0,0.8,2.5,1.0,30
XLMUSD,H4,crypto,0.002423,1.5,6.0,1.0,3.0,1.0,30
XAG_AUD,H4,commodity,0.00237,1.5,6.0,0.8,2.5,1.0,30
BAYGn,H4,equity,0.002278,1.5,4.5,1.0,2.0,0.5,24
DBKGn,H4,equity,0.002249,1.5,4.5,1.0,2.0,0.5,24
COFFEE.c,H4,commodity,0.002223,1.5,6.0,0.8,2.5,1.0,30
LVMH,M30,equity,0.002187,1.5,4.5,1.0,2.0,0.5,24
AMZN,H1,equity,0.002126,1.5,4.5,1.0,2.0,0.5,24
USOIL.cash,H4,commodity,0.001928,1.5,6.0,0.8,2.5,1.0,30
US2000.cash,H4,index,0.001887,1.5,6.0,0.8,2.5,1.0,30
META,H1,equity,0.001831,1.5,4.5,1.0,2.0,0.5,24
JP225.cash,H4,index,0.001694,1.5,6.0,0.8,2.5,1.0,30
BNBUSD,H4,crypto,0.001597,1.5,6.0,1.0,3.0,1.0,30
