symbol,timeframe,status,cluster,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
AAPL,H1,ok,equity,1620,7,3388,200,1.9932913299165838,1.3291568064634438,5.345843115065417,1.2215686201380789,3.1852574888180984,0.5246860711669435,28,9.6,0.4,4.245710867090478,2.5,0.013881910774904992
AAPL,H4,ok,equity,487,8,932,200,44.028656546229165,1.5815051934120505,4.938736810312931,0.4514099042694031,3.9924922230859705,1.5873717606155557,28,9.6,0.4,4.245710867090478,2.5,0.025447465779222134
AAPL,M15,ok,equity,5557,6,12709,200,1.9222459144613586,1.3541563112042776,6.8070556479910636,1.2897201912946756,2.243293577361902,0.41509326966080307,20,9.6,0.4,4.245710867090478,2.5,0.007412224000325137
AAPL,M30,ok,equity,2946,4,6330,200,1.6720505975390478,1.2518738842760655,6.865454334642817,0.9275835409789944,1.3241885497452597,0.36032628819990126,14,9.6,0.4,4.245710867090478,2.5,0.012235325923654674
AAVUSD,H1,ok,crypto,3377,18,6474,200,11.205285141219704,1.3010709271568919,9.98672436091259,0.8558088080784402,4.714384894535228,1.7696114193090549,47,23.1,6.5,0.6320113762041969,8.0,0.027194139372931546
AAVUSD,H4,ok,crypto,836,16,1606,200,2751.190244106556,1.630447757313376,7.345534140860869,1.758599163735736,4.548780285567359,2.4088601355248196,11,23.1,6.5,0.6320113762041969,8.0,0.029977037466945383
AAVUSD,M15,ok,crypto,13422,17,26027,200,0.02314864062510084,1.9300593855368586,7.942935563690107,1.9482130883393727,4.763016196691255,0.5307354746562087,23,23.1,6.5,0.6320113762041969,8.0,0.0053786059275689226
AAVUSD,M30,ok,crypto,6725,12,12991,200,0.4578506274039493,1.532276984353765,6.701127854838799,1.9644977653121867,4.733958311347978,0.6122304035170741,27,23.1,6.5,0.6320113762041969,8.0,0.008867454146841751
ALGUSD,H1,ok,crypto,3418,18,6475,200,2.2906425989194177,1.877325633531009,9.36240025264139,1.2372384601336532,2.7498125450838513,1.0742480468155433,45,38.0,6.5,15.548069448043261,8.0,0.020628213784665648
ALGUSD,H4,ok,crypto,821,16,1606,200,526.0685005259279,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,38.0,6.5,15.548069448043261,8.0,0.0064520903042049865
ALGUSD,M15,ok,crypto,13521,17,26025,200,-0.16353143538064852,2.5061736756902557,8.069610062659825,1.8970513579694868,2.472614005419178,1.3614615848821932,42,38.0,6.5,15.548069448043261,8.0,0.010635527264976016
ALGUSD,M30,ok,crypto,6741,12,12993,200,1.5436364526339086,1.336776358346422,8.649712563689684,1.7465774948924093,4.482308810596277,1.9541990727025018,44,38.0,6.5,15.548069448043261,8.0,0.01269783127229215
ALVG,H1,ok,equity,2481,11,4433,200,1.604675465898216,0.7052541521299888,4.56261062325386,1.0767911804716157,2.164704713010979,1.4526574964164318,13,10.4,0.4,4.975981320931483,2.5,0.008655459103470967
ALVG,H4,ok,equity,843,14,1446,200,3.3801598440934844,0.5889032998745527,5.740820883873975,0.3538671414753338,3.465044632228679,0.3269440454096664,6,10.4,0.4,4.975981320931483,2.5,0.020082192216324353
ALVG,M15,ok,equity,8944,10,16876,200,-0.01626722023161701,2.371809396484166,7.510464409114787,0.7927606098081283,1.8089250863754462,0.30220431705860884,24,10.4,0.4,4.975981320931483,2.5,0.005990402714194413
ALVG,M30,ok,equity,4576,6,8416,200,1.1573357721027608,1.7965481163624508,6.92400778447662,1.499450581158187,2.855251856726945,1.2935350571799007,33,10.4,0.4,4.975981320931483,2.5,0.009236145860681099
AMZN,H1,ok,equity,1863,7,3388,200,4.378677314685455,1.5273267141244171,6.236801911734378,1.4634445329454389,3.7968710257353613,0.3261251534577773,18,10.3,0.4,4.884872438218071,2.5,0.0053786059275689226
AMZN,H4,ok,equity,530,8,932,200,10.513082234833357,0.5091442516304152,6.255101950602066,0.5392998415516403,1.0011096924228027,0.5595361875075605,17,10.3,0.4,4.884872438218071,2.5,0.010641776374057915
AMZN,M15,ok,equity,6395,6,12709,200,3.8985645996998683,1.320542568742256,7.595949458990645,1.0953358833705389,1.7928484707017116,0.31417876320973864,31,10.3,0.4,4.884872438218071,2.5,0.012209150113224931
AMZN,M30,ok,equity,3382,4,6330,200,9.457284459754124,1.3657108382033971,7.341895798242818,0.7598919028708061,1.6754649664894574,0.6319309403511546,34,10.3,0.4,4.884872438218071,2.5,0.01697711939125738
AUD_CHF,H1,ok,forex,6358,37,12201,200,0.0699863913399527,1.6610650828634987,6.369841806970647,1.0163763848288787,2.2019878882346617,1.1819664790106594,27,5.1,0.5,1.600697192555593,1.5,0.01925904962949572
AUD_CHF,H4,ok,forex,1583,34,3014,200,6.1735389548423845,0.6977899942057804,3.1742652910999722,1.2026012225999658,3.81503181041427,0.8313412329342319,21,5.1,0.5,1.600697192555593,1.5,0.029272434167266763
AUD_CHF,M15,ok,forex,25221,36,48942,200,-0.1494187037296234,1.6914863400822582,7.6353581917419175,1.0739380869586872,3.81453211598745,0.39502212280896787,36,5.1,0.5,1.600697192555593,1.5,0.005562796208905736
AUD_CHF,M30,ok,forex,12634,26,24449,200,0.02748124151127424,2.1688995960080995,7.4908512344970735,1.4241958320051065,3.3728932362451767,1.2231366405679045,35,5.1,0.5,1.600697192555593,1.5,0.009848284886400804
AUD_JPY,H1,ok,forex,6468,37,12201,200,0.16205366145568095,2.4828273365801063,7.690216409554456,1.282269471689075,3.8028507369382267,1.3400709781847076,34,4.7,0.5,1.235152438396819,1.5,0.029253108431601758
AUD_JPY,H4,ok,forex,1632,34,3014,200,7.276723010544355,0.5618839739103412,7.786365878174827,1.2145721385886952,3.936939367815648,0.6819343514312016,20,4.7,0.5,1.235152438396819,1.5,0.012327365330993042
AUD_JPY,M15,ok,forex,25185,36,48940,200,-0.09678633696958763,1.9668303511087488,6.301323106393336,1.4836051927737486,3.9950183831119785,0.5900886938865308,29,4.7,0.5,1.235152438396819,1.5,0.007633154662086301
AUD_JPY,M30,ok,forex,12532,26,24448,200,0.0004736156870958293,1.5273267141244171,6.236801911734378,1.4634445329454389,3.7968710257353613,0.3261251534577773,18,4.7,0.5,1.235152438396819,1.5,0.0053786059275689226
AUD_USD,H1,ok,forex,6405,37,12201,200,0.024700874710538126,1.198879464296719,7.332315018160106,1.419542095486048,3.280530449253167,1.7139456279647711,33,4.1,0.5,0.640717603716803,1.5,0.013856457678272923
AUD_USD,H4,ok,forex,1634,34,3014,200,6.6262466171011045,1.9046672939945257,7.320924677681867,0.6070403675090202,3.1950591643512003,1.0701686765503866,36,4.1,0.5,0.640717603716803,1.5,0.019844809278589566
AUD_USD,M15,ok,forex,25096,36,48943,200,-0.12009036507177055,1.523589663119911,6.523197982541898,1.4312209642645524,3.790028210325612,1.3763308329598676,32,4.1,0.5,0.640717603716803,1.5,0.005574745670932493
AUD_USD,M30,ok,forex,12643,26,24449,200,0.011787075778193984,1.8942648685984114,5.881741433695176,1.3572247568829858,1.993627635203529,0.6352790475116945,28,4.1,0.5,0.640717603716803,1.5,0.01005768133503533
AUS200.cash,H1,ok,index,5883,33,11180,200,0.21384174205062673,0.5340454608064628,5.379430391755365,1.4707708940921358,1.6378446733493985,1.216763724154874,36,4.6,0.0,1.5653974905465313,1.5,0.009101388399430747
AUS200.cash,H4,ok,index,1478,33,2943,200,4027.4681447716493,1.3443278908428817,5.787524142588564,1.4490993935802567,3.771610155675106,1.6936426122550734,28,4.6,0.0,1.5653974905465313,1.5,0.024052265804632485
AUS200.cash,M15,ok,index,22661,31,43139,200,-0.16931480904173085,1.5273267141244171,6.236801911734378,1.4634445329454389,3.7968710257353613,0.3261251534577773,18,4.6,0.0,1.5653974905465313,1.5,0.0053786059275689226
AUS200.cash,M30,ok,index,11625,23,21835,200,0.03417910099945198,1.5273267141244171,6.236801911734378,1.4634445329454389,3.7968710257353613,0.3261251534577773,18,4.6,0.0,1.5653974905465313,1.5,0.0053786059275689226
AVAUSD,H1,ok,crypto,3398,18,6473,200,1.1179069031532018,1.6270039536770575,7.917313437246906,1.0648351390362034,4.262916912175427,2.272474645935442,41,32.4,6.5,9.892827699917936,8.0,0.012587243534959566
AVAUSD,H4,ok,crypto,836,16,1606,200,6.988654031812332,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,32.4,6.5,9.892827699917936,8.0,0.0064520903042049865
AVAUSD,M15,ok,crypto,13335,17,26025,200,-0.07868335389853237,2.552297254470506,8.812985296601601,1.716832467308882,3.4032675496380658,0.9337847306799844,26,32.4,6.5,9.892827699917936,8.0,0.012137782878990451
AVAUSD,M30,ok,crypto,6690,12,12990,200,1.3578920989302128,2.479927969910739,9.558956953522603,1.6787151600213384,2.9196275547484256,0.8823156870905329,44,32.4,6.5,9.892827699917936,8.0,0.010024928622401525
BABA,H1,ok,equity,1849,7,3388,200,6.643771108618158,1.0652627388283362,6.197334012152898,0.5477307088375731,1.0018975845869076,0.3011082962028232,19,13.3,0.4,7.91870133298169,2.5,0.0136933877384257
BABA,H4,ok,equity,500,8,932,200,5093.002074350118,1.4850888612551039,5.176065609383107,1.4681597814819622,1.5365660177861542,1.2517798409656298,25,13.3,0.4,7.91870133298169,2.5,0.02999312660384887
BABA,M15,ok,equity,6289,6,12709,200,5.433298882504332,1.9470413719802229,6.183738443190663,1.157683598783989,1.3167631985783947,1.420761005032491,22,13.3,0.4,7.91870133298169,2.5,0.006339532711014344
BABA,M30,ok,equity,3440,4,6330,200,8.05704412577095,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,13.3,0.4,7.91870133298169,2.5,0.0064520903042049865
BAC,H1,ok,equity,1894,7,3388,200,3.0665885895863143,0.6044728392739648,4.659382336792156,1.089700729078165,1.9347742217008088,1.8094935110213637,8,24.4,0.4,18.96094046264722,2.5,0.006342998616926169
BAC,H4,ok,equity,537,8,932,200,19.02516998286497,1.4427967181927384,7.68159235345026,0.42520773940128564,1.845921077974568,1.7958232588497185,36,24.4,0.4,18.96094046264722,2.5,0.0156461809308437
BAC,M15,ok,equity,6585,6,12709,200,1.5146773689083206,1.983695087654482,6.477883673691884,1.2585499870698733,3.605713009868786,0.3664501555435039,36,24.4,0.4,18.96094046264722,2.5,0.005445302927978621
BAC,M30,ok,equity,3405,4,6330,200,1.8577414340105307,1.7957335175737588,7.177007319642158,1.3321257795353096,1.4406977768080529,1.5241194487112784,22,24.4,0.4,18.96094046264722,2.5,0.006362391970615878
BARUSD,H1,ok,crypto,3447,18,6474,200,0.1678317437261436,1.6154488849669726,7.655259486298775,1.3836122858943254,1.6436659103762032,2.325914464137158,12,27.4,6.5,4.890573419733265,8.0,0.017824915205783994
BARUSD,H4,ok,crypto,835,16,1606,200,2.642483085910108,0.9560515984726846,9.19991310551799,1.423326335911637,4.014188790780058,0.8920862985951283,22,27.4,6.5,4.890573419733265,8.0,0.02046095734663685
BARUSD,M15,ok,crypto,13457,17,26026,200,0.06346036623751798,2.8072159770875884,8.988620512698224,1.4179368879614878,4.271291162339164,2.0541006440690563,42,27.4,6.5,4.890573419733265,8.0,0.0159219794912209
BARUSD,M30,ok,crypto,6837,12,12991,200,2.6452036015415947,2.8936078178306817,9.307700162440876,1.3848843471931918,3.2899998527881844,1.2546312063377387,32,27.4,6.5,4.890573419733265,8.0,0.008934458067683353
BAYGn,H1,ok,equity,2311,11,4433,200,2.1202925971068627,1.4685199577766852,7.498619125867835,1.2933156550134322,2.4782784344595563,1.3736423832722995,6,20.3,0.4,14.886490509861982,2.5,0.021248698519888174
BAYGn,H4,ok,equity,778,14,1446,200,3244.647834726312,1.371866993758193,7.160829145334659,1.387417369655904,3.1852574888180984,1.7665002006323904,25,20.3,0.4,14.886490509861982,2.5,0.0275287325686431
BAYGn,M15,ok,equity,8635,10,16876,200,0.22770281946329698,1.4972860938338621,7.440255054779565,1.4192535460899358,3.717184438629208,0.3048784727717521,18,20.3,0.4,14.886490509861982,2.5,0.005977049072564962
BAYGn,M30,ok,equity,4320,6,8416,200,2.053144400181095,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,20.3,0.4,14.886490509861982,2.5,0.0064520903042049865
BNBUSD,H1,ok,crypto,3350,18,6474,200,1.0088848586220802,2.038912988510029,8.352562445558819,1.6753816874813168,4.732132295577215,2.202592567905175,25,22.8,6.5,0.2932236025519174,8.0,0.017590764794825037
BNBUSD,H4,ok,crypto,786,16,1606,200,10.33431931698152,2.929937696614021,9.662273304919722,1.0846379479893973,3.628027819107061,2.2957864311050833,44,22.8,6.5,0.2932236025519174,8.0,0.021955805779840742
BNBUSD,M15,ok,crypto,13392,17,26026,200,-0.1431024496837615,2.8175305965215935,9.2195597573666,0.9415302334579007,3.291242528710326,2.010279837618555,31,22.8,6.5,0.2932236025519174,8.0,0.006061683578825384
BNBUSD,M30,ok,crypto,6758,12,12991,200,2.2530339149595426,2.620993174684778,9.413568472569704,1.6789449969052797,4.441856455545641,1.2982304250297265,45,22.8,6.5,0.2932236025519174,8.0,0.011994186225023096
CAD_JPY,H1,ok,forex,6386,37,12200,200,0.006326644938620555,1.0119314762016831,6.78206827004903,0.8390777311720274,3.9994590949374924,0.42438023771705724,19,4.9,0.5,1.3967846018466021,1.5,0.01910392534030955
CAD_JPY,H4,ok,forex,1604,34,3014,200,1294.6703367091015,0.9800281336388228,7.197351349643185,0.4845776586726308,1.3698212329704451,1.6224859070377624,28,4.9,0.5,1.3967846018466021,1.5,0.02375842345901964
CAD_JPY,M15,ok,forex,25301,36,48933,200,-0.14520242019074503,1.6908734436186228,5.867546382196699,1.4726510284311565,3.544145544504609,1.7633747728584246,35,4.9,0.5,1.3967846018466021,1.5,0.00547492050664452
CAD_JPY,M30,ok,forex,12542,26,24444,200,0.0033854024854031517,1.786552629206869,5.7026695341173435,1.0378733328063057,3.387148058479093,1.8245250886546378,29,4.9,0.5,1.3967846018466021,1.5,0.014588951354203917
COCOA.c,H1,ok,commodity,2553,12,4836,200,0.09073139296211823,1.6007105994771098,7.857177499428312,1.0002567901785084,3.753746097203035,0.3528310107335063,21,27.2,0.0,19.182529142687837,4.0,0.022548536336977874
COCOA.c,H4,ok,commodity,1032,20,1883,200,1339.1476046410094,1.6853020275088364,7.505603464704806,1.4315713703193818,2.790587132771224,0.6236184837941615,36,27.2,0.0,19.182529142687837,4.0,0.01816883651426902
